,concrete(kg/m³),Fly Ash (kg/m³),Silica Fume (kg/m³),Coarse Aggregate (kg/m³),Fine Aggregate (kg/m³),Water (kg/m³),Water Reducer (kg/m³),Fiber Diameter (mm),Fiber Length (mm),Fiber Content (%),Flexural Strength (MPa)
concrete(kg/m³),1.0,0.0305268867611547,0.06432365662815444,-0.03766196448667179,0.020083868030166957,0.733793342996937,-0.07070778266167894,-0.13638489196821477,0.2160851615752913,-0.14568809786735504,0.395475102847693
Fly Ash (kg/m³),0.0305268867611547,1.0,0.027968704502254915,-0.08200882396957984,0.26388825574782465,0.2251876150269181,-0.16257601277571332,-0.297576883919947,0.006122937266428264,-0.02379091298560701,0.16517675765336487
Silica Fume (kg/m³),0.06432365662815444,0.027968704502254915,1.0,-0.0802435815053281,-0.11538409056776812,-0.07420354837166496,0.32834268643879494,-0.1779236744520545,-0.2378843286769895,-0.11767925245954838,0.36140013773840146
Coarse Aggregate (kg/m³),-0.03766196448667179,-0.08200882396957984,-0.0802435815053281,1.0,-0.4870024704879272,-0.1734128670567816,0.13199272883033025,0.06986359163191638,-0.052386790879869874,0.16943906951109014,0.014597171247261648
Fine Aggregate (kg/m³),0.020083868030166957,0.26388825574782465,-0.11538409056776812,-0.4870024704879272,1.0,0.20554097868783391,-0.13038930974020685,0.21206233320481446,0.025992949455470652,-0.0645649567881412,-0.2207180573571705
Water (kg/m³),0.733793342996937,0.2251876150269181,-0.07420354837166496,-0.1734128670567816,0.20554097868783391,1.0,-0.26202843018769123,-0.19332521874299613,0.28165813072548085,-0.02944331345088127,0.12284945038844898
Water Reducer (kg/m³),-0.07070778266167894,-0.16257601277571332,0.32834268643879494,0.13199272883033025,-0.13038930974020685,-0.26202843018769123,1.0,-0.021456756935933848,-0.05479046071333202,0.06369274171838278,-0.10028629816319799
Fiber Diameter (mm),-0.13638489196821477,-0.297576883919947,-0.1779236744520545,0.06986359163191638,0.21206233320481446,-0.19332521874299613,-0.021456756935933848,1.0,0.18415324504934397,0.19800349600448944,-0.3446852018258982
Fiber Length (mm),0.2160851615752913,0.006122937266428264,-0.2378843286769895,-0.052386790879869874,0.025992949455470652,0.28165813072548085,-0.05479046071333202,0.18415324504934397,1.0,0.0649844977889212,0.04842096401173385
Fiber Content (%),-0.14568809786735504,-0.02379091298560701,-0.11767925245954838,0.16943906951109014,-0.0645649567881412,-0.02944331345088127,0.06369274171838278,0.19800349600448944,0.0649844977889212,1.0,-0.1192283369314254
Flexural Strength (MPa),0.395475102847693,0.16517675765336487,0.36140013773840146,0.014597171247261648,-0.2207180573571705,0.12284945038844898,-0.10028629816319799,-0.3446852018258982,0.04842096401173385,-0.1192283369314254,1.0
