,concrete(kg/m³),Fly Ash (kg/m³),Silica Fume (kg/m³),Coarse Aggregate (kg/m³),Fine Aggregate (kg/m³),Water (kg/m³),Water Reducer (kg/m³),Fiber Diameter (mm),Fiber Length (mm),Fiber Content (%),Splitting Tensile Strength (MPa)
concrete(kg/m³),1.0,-0.03550449433703386,0.13367919750744342,0.0038760930978574914,-0.06105574101143081,0.7081384817223887,-0.12818801600769794,-0.13798932295485855,0.19266813302448194,-0.16929001522706436,0.22958346867431634
Fly Ash (kg/m³),-0.03550449433703386,1.0,-0.15693972057519984,-0.31850236732119325,0.49379665107136533,0.07216494397300761,0.014571458664434966,-0.3032866518502919,-0.21004727023596925,-0.038094320971526194,0.044085961589613726
Silica Fume (kg/m³),0.13367919750744342,-0.15693972057519984,1.0,-0.002621125209258379,-0.13130945022451335,-0.16861899032232877,0.3272209118198711,-0.15002268142150818,-0.10204604114876618,-0.1362297987677521,0.09277277742816058
Coarse Aggregate (kg/m³),0.0038760930978574914,-0.31850236732119325,-0.002621125209258379,1.0,-0.40287040506583954,-0.02560488329659605,-0.009119955156728015,0.18370859943698717,0.09396249697363798,0.14602410429337515,-0.07866181154684712
Fine Aggregate (kg/m³),-0.06105574101143081,0.49379665107136533,-0.13130945022451335,-0.40287040506583954,1.0,0.12264431884277156,0.07339669161557338,0.08305965240719718,-0.05605040731743796,0.03664581066972217,-0.1714321932931442
Water (kg/m³),0.7081384817223887,0.07216494397300761,-0.16861899032232877,-0.02560488329659605,0.12264431884277156,1.0,-0.31231534519998744,-0.12905602446637898,0.2194477325165008,0.0072683015117793875,0.07709451194008644
Water Reducer (kg/m³),-0.12818801600769794,0.014571458664434966,0.3272209118198711,-0.009119955156728015,0.07339669161557338,-0.31231534519998744,1.0,-0.12789109046201172,-0.15446398407580783,0.1121663562702564,-0.22292227014909116
Fiber Diameter (mm),-0.13798932295485855,-0.3032866518502919,-0.15002268142150818,0.18370859943698717,0.08305965240719718,-0.12905602446637898,-0.12789109046201172,1.0,0.21707676182281657,0.23567390373890926,-0.34302449110220545
Fiber Length (mm),0.19266813302448194,-0.21004727023596925,-0.10204604114876618,0.09396249697363798,-0.05605040731743796,0.2194477325165008,-0.15446398407580783,0.21707676182281657,1.0,0.06953334738992677,0.13416374970797548
Fiber Content (%),-0.16929001522706436,-0.038094320971526194,-0.1362297987677521,0.14602410429337515,0.03664581066972217,0.0072683015117793875,0.1121663562702564,0.23567390373890926,0.06953334738992677,1.0,-0.15359122501388986
Splitting Tensile Strength (MPa),0.22958346867431634,0.044085961589613726,0.09277277742816058,-0.07866181154684712,-0.1714321932931442,0.07709451194008644,-0.22292227014909116,-0.34302449110220545,0.13416374970797548,-0.15359122501388986,1.0
