,Cement,Slag,Fly ash,Water,SP,Coarse Aggr.,Fine Aggr.,SLUMP(cm),FLOW(cm),Compressive Strength (28-day)(Mpa)
Cement,1.0,-0.24355253485977996,-0.48653528506282095,0.2210912446928273,-0.10638679307330422,-0.3098568307332377,0.056958873281455956,0.1459125034744603,0.18646060166963507,0.44572481283540705
Slag,-0.24355253485977996,1.0,-0.32261907363517706,-0.026774636512982574,0.30650430626367753,-0.22379244875626203,-0.18352199475421563,-0.28403656454652715,-0.327230690689608,-0.3315880156019984
Fly ash,-0.48653528506282095,-0.32261907363517706,1.0,-0.2413206068675609,-0.14350797520524747,0.17261996477912436,-0.28285428760598186,-0.11862136427736542,-0.05542345861329129,0.444392598989271
Water,0.2210912446928273,-0.026774636512982574,-0.2413206068675609,1.0,-0.15545588692676263,-0.6022012856282354,0.11459095028136436,0.46656827046657384,0.632025674104028,-0.2542349822633836
SP,-0.10638679307330422,0.30650430626367753,-0.14350797520524747,-0.15545588692676263,1.0,-0.1041594300272337,0.05829047349941925,-0.21290187179820214,-0.17631448989021664,-0.037870840914198504
Coarse Aggr.,-0.3098568307332377,-0.22379244875626203,0.17261996477912436,-0.6022012856282354,-0.1041594300272337,1.0,-0.48853677232310394,-0.18815710569104296,-0.32578669312738506,-0.16068394020996712
Fine Aggr.,0.056958873281455956,-0.18352199475421563,-0.28285428760598186,0.11459095028136436,0.05829047349941925,-0.48853677232310394,1.0,0.2022722075559618,0.19036959117848729,-0.15448431497675522
SLUMP(cm),0.1459125034744603,-0.28403656454652715,-0.11862136427736542,0.46656827046657384,-0.21290187179820214,-0.18815710569104296,0.2022722075559618,1.0,0.9061345366873969,-0.2233580981892819
FLOW(cm),0.18646060166963507,-0.327230690689608,-0.05542345861329129,0.632025674104028,-0.17631448989021664,-0.32578669312738506,0.19036959117848729,0.9061345366873969,1.0,-0.12402942180043676
Compressive Strength (28-day)(Mpa),0.44572481283540705,-0.3315880156019984,0.444392598989271,-0.2542349822633836,-0.037870840914198504,-0.16068394020996712,-0.15448431497675522,-0.2233580981892819,-0.12402942180043676,1.0
