,Cement-to-cm,Cement type (MPa),Fly ash-to-cm,Slag-to-cm,Silica fume-to-cm,Metakaolin-to-cm,Nano silica-to-cm,Limestone-to-cm,Quartz powder-to-cm,Sand-to-cm,Maximum aggregate size (mm),Water-to-cm,Superplasticizer-to-cm,Steel fiber volume (%),Aspect ratio of fibers,Mini-slump spread (mm)
Cement-to-cm,1.0,0.41430761997524723,-0.23917050899286293,-0.8190606790981785,-0.32527995151512423,0.03677142999854477,0.36825520472404644,0.10170967582313331,0.1411366098710465,-0.14601465751758885,0.3537596489855252,0.4836443249138689,0.5247961109338541,-0.07102639977224952,-0.002046144497013937,0.2756092088179569
Cement type (MPa),0.41430761997524723,1.0,-0.10532404667089267,-0.27806608995719084,-0.1265211049584906,-0.21977567013129393,0.09021328805451292,-0.2610611654864798,0.06217399718794476,-0.6974152729718064,0.29487781586022715,0.1425803084948528,0.15023848445594482,-0.3882997600777914,-0.3175005196125074,0.23883657304978953
Fly ash-to-cm,-0.23917050899286293,-0.10532404667089267,1.0,-0.18333270730833845,-0.32828221710642436,0.07235928851550635,-0.14585030913112684,-0.09956450708719522,-0.08211792854566609,0.3104972012321326,-0.3418076060269203,-0.16102073752862786,0.1329092338784896,0.29331743754400014,0.2261085690406403,0.21843135283344034
Slag-to-cm,-0.8190606790981785,-0.27806608995719084,-0.18333270730833845,1.0,0.11679014268311441,-0.08246465922413782,-0.12358011292327584,-0.019773221637160183,0.02466664188854479,0.024774389657263862,-0.3237421076337636,-0.2942736315281026,-0.43356517208103756,-0.012312328766646707,-0.0658953859749708,-0.106146868070731
Silica fume-to-cm,-0.32527995151512423,-0.1265211049584906,-0.32828221710642436,0.11679014268311441,1.0,-0.3889658107413142,-0.47066959058678615,-0.21413094573768102,-0.35590134024690107,-0.16190816905758212,0.3015225370693646,-0.4831875029341152,-0.5342588042032997,-0.15875150103086974,-0.14110780002066464,-0.6759414325689692
Metakaolin-to-cm,0.03677142999854477,-0.21977567013129393,0.07235928851550635,-0.08246465922413782,-0.3889658107413142,1.0,-0.06560474787515724,0.41741707688212487,0.15513805353721452,-0.003949421423826225,-0.15374805818921278,0.4249738586959186,0.012975387411244821,-0.0840555104740063,-0.08633526536189909,0.11010941297185334
Nano silica-to-cm,0.36825520472404644,0.09021328805451292,-0.14585030913112684,-0.12358011292327584,-0.47066959058678615,-0.06560474787515724,1.0,0.00026801002345245054,0.46603071614804387,0.35461852582012743,0.02622200050736828,0.4491000930788798,0.7463111140840718,0.1662028517958469,0.2583339280683166,0.34700243230942973
Limestone-to-cm,0.10170967582313331,-0.2610611654864798,-0.09956450708719522,-0.019773221637160183,-0.21413094573768102,0.41741707688212487,0.00026801002345245054,1.0,-0.08315254860071244,0.011878368417914998,-0.07139434131831175,0.4892807515691397,-0.1491628049754979,-0.05942441195466669,-0.07909946330667593,0.22641648679871507
Quartz powder-to-cm,0.1411366098710465,0.06217399718794476,-0.08211792854566609,0.02466664188854479,-0.35590134024690107,0.15513805353721452,0.46603071614804387,-0.08315254860071244,1.0,0.08520604454614628,0.0946770367666862,0.4570272430265042,0.3650890038560981,-0.18308084662842286,-0.13218446352202973,0.26784800773853173
Sand-to-cm,-0.14601465751758885,-0.6974152729718064,0.3104972012321326,0.024774389657263862,-0.16190816905758212,-0.003949421423826225,0.35461852582012743,0.011878368417914998,0.08520604454614628,1.0,-0.3318713446208614,-0.02238422550950863,0.42459971510872074,0.49847582850761557,0.47622373582642924,0.07563429134294991
Maximum aggregate size (mm),0.3537596489855252,0.29487781586022715,-0.3418076060269203,-0.3237421076337636,0.3015225370693646,-0.15374805818921278,0.02622200050736828,-0.07139434131831175,0.0946770367666862,-0.3318713446208614,1.0,0.17286833750008915,0.18884286452830185,-0.18507091591870117,-0.061058902433531695,-0.25510427749184644
Water-to-cm,0.4836443249138689,0.1425803084948528,-0.16102073752862786,-0.2942736315281026,-0.4831875029341152,0.4249738586959186,0.4491000930788798,0.4892807515691397,0.4570272430265042,-0.02238422550950863,0.17286833750008915,1.0,0.4065513914832367,-0.1745217883457563,-0.10516000234808137,0.514324572913635
Superplasticizer-to-cm,0.5247961109338541,0.15023848445594482,0.1329092338784896,-0.43356517208103756,-0.5342588042032997,0.012975387411244821,0.7463111140840718,-0.1491628049754979,0.3650890038560981,0.42459971510872074,0.18884286452830185,0.4065513914832367,1.0,0.2529356246765516,0.32131242488553297,0.3366578660477774
Steel fiber volume (%),-0.07102639977224952,-0.3882997600777914,0.29331743754400014,-0.012312328766646707,-0.15875150103086974,-0.0840555104740063,0.1662028517958469,-0.05942441195466669,-0.18308084662842286,0.49847582850761557,-0.18507091591870117,-0.1745217883457563,0.2529356246765516,1.0,0.8655171430769221,0.021108193686636585
Aspect ratio of fibers,-0.002046144497013937,-0.3175005196125074,0.2261085690406403,-0.0658953859749708,-0.14110780002066464,-0.08633526536189909,0.2583339280683166,-0.07909946330667593,-0.13218446352202973,0.47622373582642924,-0.061058902433531695,-0.10516000234808137,0.32131242488553297,0.8655171430769221,1.0,0.03664054263243339
Mini-slump spread (mm),0.2756092088179569,0.23883657304978953,0.21843135283344034,-0.106146868070731,-0.6759414325689692,0.11010941297185334,0.34700243230942973,0.22641648679871507,0.26784800773853173,0.07563429134294991,-0.25510427749184644,0.514324572913635,0.3366578660477774,0.021108193686636585,0.03664054263243339,1.0
